S. No.,College Name,College Type,State Name
211,"Shams-Ul_Uloom College of Education, Markapur (Id: C-39301)",Affiliated College,Andhra Pradesh
212,"Shams-Ul-Uloom College of Education, Podili (Id: C-39477)",Affiliated College,Andhra Pradesh
213,Shivani Degree College (Id: C-36921),Affiliated College,Andhra Pradesh
214,"Siddhartha Institute of Pharmaceutical Sciences, Jonnalagadda (Id: C-39454)",Affiliated College,Andhra Pradesh
215,SIMS College of Education (Id: C-37210),Affiliated College,Andhra Pradesh
216,"SIMS College of Life Sciences, Guntur (Id: C-41033)",Affiliated College,Andhra Pradesh
217,SIMS College of Pharmacy (Id: C-32788),Affiliated College,Andhra Pradesh
218,S.K.B.R. Govt. College (Id: C-32691),Affiliated College,Andhra Pradesh
219,S.K.R.B.R. College (Id: C-32738),Affiliated College,Andhra Pradesh
220,S.K.S.V. Degree College for Women (Id: C-32661),Affiliated College,Andhra Pradesh
221,S.L.V. College of Education (Id: C-42244),Affiliated College,Andhra Pradesh
222,S.M.P.A. Degree College (Id: C-32814),Affiliated College,Andhra Pradesh
223,SMS & SMCMR College of Education (Id: C-37217),Affiliated College,Andhra Pradesh
224,"Smt. Koonapareddy Prameela Rani Degree College, Parchoor (Id: C-39312)",Affiliated College,Andhra Pradesh
225,Smt. Sanagala Prameela Degree College (Id: C-32685),Affiliated College,Andhra Pradesh
226,S M Y College of Education (Id: C-32660),Affiliated College,Andhra Pradesh
227,S.N.B.T. Degree College for Women (Id: C-32737),Affiliated College,Andhra Pradesh
228,S.N.B.T.M. College of Education (Id: C-32622),Affiliated College,Andhra Pradesh
229,Sri Chaitanya College of Education (Id: C-39263),Affiliated College,Andhra Pradesh
230,Sri C.V. Raman College of Computer Science (Id: C-39463),Affiliated College,Andhra Pradesh
231,Sri Gayatri Vidya Parishad Degree College (Id: C-32715),Affiliated College,Andhra Pradesh
232,"Sri Gowtham College of Education, Darsi (Id: C-39447)",Affiliated College,Andhra Pradesh
233,"Sri Gowtham Degree College, Kandulapuram (Id: C-41009)",Affiliated College,Andhra Pradesh
234,"Sri Gowthami Degree College, Darsi (Id: C-41011)",Affiliated College,Andhra Pradesh
235,"Sri Harsha's Womens Degree College, Cumbum (Id: C-44486)",Affiliated College,Andhra Pradesh
236,"Sri Harshini Degree College, Martur (Id: C-41024)",Affiliated College,Andhra Pradesh
237,"Sri Harshini Degree College, Ongole (Id: C-41023)",Affiliated College,Andhra Pradesh
238,"Sri Jeevana Jyothi Degree College, Giddalur (Id: C-41010)",Affiliated College,Andhra Pradesh
239,Sriji Degree College (Id: C-32774),Affiliated College,Andhra Pradesh
240,"Sri Kakatiya Degree College, Predakurapadu (Id: C-42776)",Affiliated College,Andhra Pradesh
241,Sri Kandula Obula Reddy Degree College (Id: C-32785),Affiliated College,Andhra Pradesh
242,Sri Karthikeya Degree College - Guntur (Id: C-39494),Affiliated College,Andhra Pradesh
243,Sri Mahaveer Memorial Jain Degree College (Id: C-32826),Affiliated College,Andhra Pradesh
244,Sri Majeti Guravaiah Degree College (Id: C-32709),Affiliated College,Andhra Pradesh
245,Sri Nagarjuna Degree College (Id: C-32640),Affiliated College,Andhra Pradesh
246,Sri Potti Sriramulu Degree College (Id: C-32647),Affiliated College,Andhra Pradesh
247,Sri Prasannanjaneya Degree College (Id: C-41032),Affiliated College,Andhra Pradesh
248,Sri Prathidba Degree College (Id: C-32773),Affiliated College,Andhra Pradesh
249,"Sri Pratibha Degree College, Ongole (Id: C-39311)",Affiliated College,Andhra Pradesh
250,"Sri Raja Rajeswari College of Education, Giddalur (Id: C-39472)",Affiliated College,Andhra Pradesh
251,Sri Rama Krishna Degree College (Id: C-32668),Affiliated College,Andhra Pradesh
252,"Sri Sadhana Degree College, Markapur (Id: C-39296)",Affiliated College,Andhra Pradesh
253,Sri Sai Degree College (Id: C-44035),Affiliated College,Andhra Pradesh
254,"Sri Sai Degree College, Repalle (Id: C-43770)",Affiliated College,Andhra Pradesh
255,Sri Sarada Niketanam Oriental College (Id: C-32648),Affiliated College,Andhra Pradesh
256,"Sri Sidhartha Degree College, Bestavaripeta (Id: C-42774)",Affiliated College,Andhra Pradesh
257,Sri Tatiparthi Venkata Reddy Memorial College of Education (Id: C-39476),Affiliated College,Andhra Pradesh
258,Sri Vasavi Kanyaka Parameswari Degree College (Id: C-41002),Affiliated College,Andhra Pradesh
